priority,topic,publication_score,video_id,title,url,transcript_available,transcript_chars
normal,Nissan,76,bneJw3WuvXU,"¿Me lo compro o NO? Mini, Mitsubishi y Nissan con Sergio Oliveira | Tixuz Autos",https://www.youtube.com/watch?v=bneJw3WuvXU,True,44823
normal,Hyundai,75,FpXwO0V3CxM,Noticias Motor Abril 2026,https://www.youtube.com/watch?v=FpXwO0V3CxM,True,7522
normal,Hyundai,75,u4Hj3qKhhw0,me lo compro no me lo compro hyundai,https://www.youtube.com/watch?v=u4Hj3qKhhw0,True,23448
normal,Hyundai,75,t18L1VU4jxs,"¿ME LO COMPRO O NO? Kia, Land Rover y Lexus",https://www.youtube.com/watch?v=t18L1VU4jxs,True,41633
normal,Mercedes,68,u-QIh-nnUYg,Me lo compro o no me lo compro: Mercedes-Benz,https://www.youtube.com/watch?v=u-QIh-nnUYg,True,23686
normal,Subaru,66,i849ev1wuhs,"No compres SEAT, Subaru o Suzuki sin ver esto 🛑 | Me Lo Compro o No Me Lo Compro",https://www.youtube.com/watch?v=i849ev1wuhs,True,30101
normal,Subaru,66,FpXwO0V3CxM,Noticias Motor Abril 2026,https://www.youtube.com/watch?v=FpXwO0V3CxM,True,7522
normal,Ram,56,t18L1VU4jxs,"¿ME LO COMPRO O NO? Kia, Land Rover y Lexus",https://www.youtube.com/watch?v=t18L1VU4jxs,True,41633
normal,Ram,56,bneJw3WuvXU,"¿Me lo compro o NO? Mini, Mitsubishi y Nissan con Sergio Oliveira | Tixuz Autos",https://www.youtube.com/watch?v=bneJw3WuvXU,True,44823
normal,Mitsubishi,54,bneJw3WuvXU,"¿Me lo compro o NO? Mini, Mitsubishi y Nissan con Sergio Oliveira | Tixuz Autos",https://www.youtube.com/watch?v=bneJw3WuvXU,True,44823
normal,Suzuki,53,i849ev1wuhs,"No compres SEAT, Subaru o Suzuki sin ver esto 🛑 | Me Lo Compro o No Me Lo Compro",https://www.youtube.com/watch?v=i849ev1wuhs,True,30101
normal,Volkswagen,51,FpXwO0V3CxM,Noticias Motor Abril 2026,https://www.youtube.com/watch?v=FpXwO0V3CxM,True,7522
normal,Kia,50,t18L1VU4jxs,"¿ME LO COMPRO O NO? Kia, Land Rover y Lexus",https://www.youtube.com/watch?v=t18L1VU4jxs,True,41633
normal,Toyota,44,FpXwO0V3CxM,Noticias Motor Abril 2026,https://www.youtube.com/watch?v=FpXwO0V3CxM,True,7522
normal,Mini,34,bneJw3WuvXU,"¿Me lo compro o NO? Mini, Mitsubishi y Nissan con Sergio Oliveira | Tixuz Autos",https://www.youtube.com/watch?v=bneJw3WuvXU,True,44823
normal,Seat,33,i849ev1wuhs,"No compres SEAT, Subaru o Suzuki sin ver esto 🛑 | Me Lo Compro o No Me Lo Compro",https://www.youtube.com/watch?v=i849ev1wuhs,True,30101
normal,Lexus,30,t18L1VU4jxs,"¿ME LO COMPRO O NO? Kia, Land Rover y Lexus",https://www.youtube.com/watch?v=t18L1VU4jxs,True,41633
normal,Mercedes-Benz,22,u-QIh-nnUYg,Me lo compro o no me lo compro: Mercedes-Benz,https://www.youtube.com/watch?v=u-QIh-nnUYg,True,23686
