id,slug,title_seo,source_url,upload_date,duration,transcript_available,transcript_chars,enrichment_provider
XIYwPHhZHDg,me-lo-compro-o-no-nueva-temporada-1-episodio-1-con-sergio-oliveira-y-eduardo-vargas-XIYwPHhZHDg,¿Me lo compro o no? 🚗 nueva  Temporada 1 Episodio 1 con Sergio Oliveira y Eduardo Vargas,https://www.youtube.com/watch?v=XIYwPHhZHDg,20250806,3251,False,0,local
Tc5OoejQfOw,gato-tradear-criptos-con-libertex-Tc5OoejQfOw,Gato Tradear Criptos con Libertex,https://www.youtube.com/watch?v=Tc5OoejQfOw,20250802,8,False,0,local
rJXbPFvrrlI,revisiones-gratis-que-nadie-aprovecha-deja-de-perder-dinero-rJXbPFvrrlI,"""Revisiones GRATIS que nadie aprovecha – ¡Deja de perder dinero!""",https://www.youtube.com/watch?v=rJXbPFvrrlI,20250801,1554,False,0,local
ob3gVRpj-uo,el-fin-del-juego-para-las-marcas-tradicionales-asi-es-como-china-gano-la-guerra-ob3gVRpj-uo,El Fin del Juego para las Marcas Tradicionales: Así es como China Ganó la Guerra,https://www.youtube.com/watch?v=ob3gVRpj-uo,20250726,1863,False,0,local
GsiGKSdo2iM,video-de-superheroe-tixuzman-GsiGKSdo2iM,Video de Superhéroe TixuzMan,https://www.youtube.com/watch?v=GsiGKSdo2iM,20250724,8,False,0,local
PttuYeqLOgM,tixuz-man-PttuYeqLOgM,tixuz man,https://www.youtube.com/watch?v=PttuYeqLOgM,20250724,8,False,0,local
cAQZZKiK8GY,las-jmc-telitoly-o-como-dicen-jodida-mi-camioneta-ford-nacidos-chinos-cAQZZKiK8GY,Las JMC telitoly... o como dicen Jodida Mi Camioneta 😂 ford nacidos chinos,https://www.youtube.com/watch?v=cAQZZKiK8GY,20250724,8,False,0,local
951KEcsHlRs,lo-bueno-de-tener-un-coche-chino-951KEcsHlRs,Lo bueno de tener un coche chino,https://www.youtube.com/watch?v=951KEcsHlRs,20250724,8,False,0,local
DIhNDdGGjNc,video-de-autos-chino-vs-japones-DIhNDdGGjNc,Video de Autos Chino vs Japonés,https://www.youtube.com/watch?v=DIhNDdGGjNc,20250722,8,False,0,local
Jkw8gvDFhtI,no-no-compraste-la-version-asiatica-todos-son-de-china-Jkw8gvDFhtI,No no compraste la versión asiática todos son de china,https://www.youtube.com/watch?v=Jkw8gvDFhtI,20250620,8,False,0,local
D-tvOpAULIw,y-la-agencia-de-autos-D-tvOpAULIw,Y la agencia de autos?,https://www.youtube.com/watch?v=D-tvOpAULIw,20250614,8,False,0,local
eUhC6MkcFes,dejo-de-hacer-videos-eUhC6MkcFes,Dejo de hacer videos…,https://www.youtube.com/watch?v=eUhC6MkcFes,20250520,237,False,0,local
JEZxF03AqLU,tixuz-autos-con-sergio-oliveira-y-eduardo-vargas-JEZxF03AqLU,tixuz autos con sergio oliveira y eduardo vargas,https://www.youtube.com/watch?v=JEZxF03AqLU,20250429,2166,False,0,local
S_Jco68hqzM,los-5-mejores-autos-de-entrada-para-comprar-en-mexico-2025-analisis-completo-con-pros-y-co-S_Jco68hqzM,"""Los 5 Mejores Autos de Entrada para Comprar en México 2025: Análisis Completo con Pros y Contras""",https://www.youtube.com/watch?v=S_Jco68hqzM,20250422,619,False,0,local
IUrYfUtUZmA,me-lo-compro-o-no-me-lo-compro-nissan-seat-subaru-suzuki-IUrYfUtUZmA,"Me lo compro o no me lo compro nissan ,seat subaru,suzuki",https://www.youtube.com/watch?v=IUrYfUtUZmA,20250312,3689,False,0,local
3ulgUZJYsaY,me-lo-compro-o-no-me-lo-compro-mini-mitsubishi-nissan-omoda-3ulgUZJYsaY,"me lo compro o no me lo compro mini,mitsubishi,nissan,omoda.",https://www.youtube.com/watch?v=3ulgUZJYsaY,20250120,3971,False,0,local
2tr5BIOGzQg,me-lo-compro-o-no-mazda-mclaren-mercedes-y-mg-con-sergio-oliveira-y-lalo-2tr5BIOGzQg,"""¿Me lo compro o no? 🚗 Mazda, McLaren, Mercedes y MG con Sergio Oliveira y Lalo""",https://www.youtube.com/watch?v=2tr5BIOGzQg,20250108,4907,False,0,local
xiUQqZuXvDU,platica-con-felipe-mendoza-atfx-xiUQqZuXvDU,platica con felipe mendoza atfx,https://www.youtube.com/watch?v=xiUQqZuXvDU,20241220,532,False,0,local
zf5tXuHbsjU,protege-tu-auto-las-autopartes-mas-robadas-en-2024-zf5tXuHbsjU,"""¡Protege tu auto! Las autopartes más robadas en 2024""",https://www.youtube.com/watch?v=zf5tXuHbsjU,20241211,668,False,0,local
cgsrn0nuj8E,atfx-tu-aliado-estrategico-en-el-mundo-del-trading-cgsrn0nuj8E,"""ATFX: Tu Aliado Estratégico en el Mundo del Trading""",https://www.youtube.com/watch?v=cgsrn0nuj8E,20241211,588,False,0,local
V5sZhTMURTE,por-que-son-tan-caros-los-autos-en-mexico-nostalgia-70s-los-autos-que-marcaron-una-epoca-V5sZhTMURTE,"""¿Por qué son tan caros los autos en México? + Nostalgia 70s: Los autos que marcaron una época""",https://www.youtube.com/watch?v=V5sZhTMURTE,20241008,3827,False,0,local
lAK3yoiy4Sg,lalo-y-la-aichavorrucos-lAK3yoiy4Sg,lalo y la @AIChavorrucos,https://www.youtube.com/watch?v=lAK3yoiy4Sg,20240828,835,False,0,local
Shm2hTYmLfg,una-idea-tonta-Shm2hTYmLfg,una idea tonta,https://www.youtube.com/watch?v=Shm2hTYmLfg,20240823,26,False,0,local
dSAwqBNtfbw,es-hora-de-hacer-dinero-dSAwqBNtfbw,Es hora de hacer dinero,https://www.youtube.com/watch?v=dSAwqBNtfbw,20240702,211,False,0,local
PpY9Mgi4dQI,evento-PpY9Mgi4dQI,evento,https://www.youtube.com/watch?v=PpY9Mgi4dQI,20240629,50,False,0,local
1FMVWKIwJgs,super-evento-1FMVWKIwJgs,super evento,https://www.youtube.com/watch?v=1FMVWKIwJgs,20240629,50,False,0,local
ouCmXI8PJIU,el-regreso-de-sergio-oliveira-a-me-lo-compro-o-no-me-lo-compro-ouCmXI8PJIU,el regreso de sergio oliveira a me lo compro o no me lo compro,https://www.youtube.com/watch?v=ouCmXI8PJIU,20240517,3108,False,0,local
ylDhhFqMkrg,tixuz-la-evolucion-ylDhhFqMkrg,tixuz la evolucion,https://www.youtube.com/watch?v=ylDhhFqMkrg,20240329,605,False,0,local
rFnYwJBp2B0,el-dolar-barato-y-las-marcas-con-sus-precios-carisimos-rFnYwJBp2B0,El dólar barato y las marcas con sus precios carísimos,https://www.youtube.com/watch?v=rFnYwJBp2B0,20240315,2978,False,0,local
bNz_JfqwcSo,cual-contamina-mas-bNz_JfqwcSo,¿ Cuál contamina más?,https://www.youtube.com/watch?v=bNz_JfqwcSo,20240223,733,False,0,local
_UicFb_9jLU,los-invito-a-chavorucos-hoy-a-las-8-30-_UicFb_9jLU,LOS INVITO A CHAVORUCOS HOY A LAS 8 30,https://www.youtube.com/watch?v=_UicFb_9jLU,20240222,16,False,0,local
7OkJGJGfI2M,moneta-markets-lo-mas-nuevo-7OkJGJGfI2M,moneta markets lo mas nuevo,https://www.youtube.com/watch?v=7OkJGJGfI2M,20240104,1396,False,0,local
cLTCoJ5ApEk,los-precios-por-las-nubes-y-la-invasion-china-cLTCoJ5ApEk,Los precios por las nubes y la invasion china.,https://www.youtube.com/watch?v=cLTCoJ5ApEk,20231020,2640,False,0,local
bOj4KlBGYsc,youtubers-mix-live-bOj4KlBGYsc,Youtubers mix live,https://www.youtube.com/watch?v=bOj4KlBGYsc,20230926,28,False,0,local
qbySatEe4m0,el-por-que-yogui-ya-no-saldra-en-tixuz-qbySatEe4m0,El por que yogui ya no saldrá en tixuz🤨🔇,https://www.youtube.com/watch?v=qbySatEe4m0,20230906,111,False,0,local
iG1lOwAJ1Gs,los-fantasmas-llegaron-a-tesla-iG1lOwAJ1Gs,los fantasmas llegaron a tesla?,https://www.youtube.com/watch?v=iG1lOwAJ1Gs,20230817,2443,False,0,local
DedFrJzgs-0,desglosando-costos-la-verdad-detras-de-las-tarifas-de-agencias-DedFrJzgs-0,"""Desglosando Costos: La Verdad detrás de las Tarifas de Agencias""",https://www.youtube.com/watch?v=DedFrJzgs-0,20230811,2463,False,0,local
MO0i_FkX8VI,de-baches-a-tesoros-la-aventura-de-la-industria-automotriz-en-mexico-activa-los-subtitulos-MO0i_FkX8VI,"""De Baches a Tesoros: La Aventura de la Industria Automotriz en México"" activa los subtitulos",https://www.youtube.com/watch?v=MO0i_FkX8VI,20230526,392,False,0,local
zGQ-m8-Wl9M,desfile-de-autos-para-los-de-bolsillo-modesto-cual-es-el-menos-peor-zGQ-m8-Wl9M,"""Desfile de Autos para los de Bolsillo Modesto: ¿Cuál es el Menos Peor?""",https://www.youtube.com/watch?v=zGQ-m8-Wl9M,20230516,383,False,0,local
KWy2aUjl7U0,autos-chinos-en-mexico-vale-la-pena-el-riesgo-descubrelo-aqui-KWy2aUjl7U0,"""Autos Chinos en México: ¿Vale la pena el riesgo? ¡Descúbrelo aquí!""",https://www.youtube.com/watch?v=KWy2aUjl7U0,20230501,622,False,0,local
_3NMxDo_jEA,los-autos-electricos-son-el-futuro-de-la-movilidad-_3NMxDo_jEA,Los autos eléctricos son el futuro de la movilidad,https://www.youtube.com/watch?v=_3NMxDo_jEA,20230430,431,False,0,local
LuIJNAo79Nc,los-autos-del-futuro-segun-ia-y-lalo-LuIJNAo79Nc,Los autos del futuro segun ia y lalo,https://www.youtube.com/watch?v=LuIJNAo79Nc,20230410,605,False,0,local
cbPQbItM-vM,tines-que-verlo-cbPQbItM-vM,tines que verlo,https://www.youtube.com/watch?v=cbPQbItM-vM,20230211,942,False,0,local
nEmrxyO0DCw,el-peor-auto-de-mexico-para-comprar-usado-nEmrxyO0DCw,EL PEOR AUTO DE MEXICO para comprar usado,https://www.youtube.com/watch?v=nEmrxyO0DCw,20230207,285,False,0,local
0XoGGu-QVPs,que-no-te-vean-la-cara-parte-2-1-jaja-0XoGGu-QVPs,que no te vean la cara parte 2.1 jaja,https://www.youtube.com/watch?v=0XoGGu-QVPs,20230204,552,False,0,local
-X96lkdMJlE,que-no-te-vean-la-cara--X96lkdMJlE,que no te vean la cara!!!!!,https://www.youtube.com/watch?v=-X96lkdMJlE,20230130,1003,False,0,local
OmO0xNBOY6I,haz-dinero-OmO0xNBOY6I,haz dinero.,https://www.youtube.com/watch?v=OmO0xNBOY6I,20221220,44,False,0,local
V79lGPB82zc,yougi-y-los-ford-cougar-V79lGPB82zc,Yougi y Los Ford Cougar,https://www.youtube.com/watch?v=V79lGPB82zc,20220527,1002,False,0,local
jVU_mY3mdNw,chirey-jVU_mY3mdNw,CHIREY,https://www.youtube.com/watch?v=jVU_mY3mdNw,20220512,1441,False,0,local
5CsF6Ahk99o,instagram-live-alonso-brugada-de-auto-dinamico-y-yogui-parte-1-5CsF6Ahk99o,Instagram Live: ⚙️👊🏽Alonso Brugada de Auto Dinámico y Yogui | Parte 1👈🏼,https://www.youtube.com/watch?v=5CsF6Ahk99o,20220302,3587,False,0,local
ct8zyWBwTyM,el-cangrejo-hummer-h-ev-pickup-ct8zyWBwTyM,El cangrejo: Hummer #H #EV #PICKUP,https://www.youtube.com/watch?v=ct8zyWBwTyM,20220202,149,False,0,local
91v9JmNMnK4,erixon-de-full-gass-y-full-cars-como-se-elige-una-motoc1cleta-instagram-live-20-01-22-91v9JmNMnK4,😱Erixon de Full Gass y Full Cars 🔴 CÓMO SE ELIGE UNA MOTOC1CLETA!! 🦾🏍| Instagram Live 20/01/22,https://www.youtube.com/watch?v=91v9JmNMnK4,20220121,4713,False,0,local
bufGafWxjCc,alvazqueztv-y-yoguicomparativa-agencias-pais-vecino-2022-bufGafWxjCc,🇨🇺 AlvazquezTV y YoguiCOMPARATIVA AGENCIAS país vecino 🇲🇽🇺🇸2022,https://www.youtube.com/watch?v=bufGafWxjCc,20220111,3591,False,0,local
bzisbLUe5zQ,corvette-segunda-parte-con-yoguienriqueencinas-bzisbLUe5zQ,Corvette segunda parte con @YoguiEnriqueEncinas,https://www.youtube.com/watch?v=bzisbLUe5zQ,20211113,1507,False,0,local
CywJgSTtiAA,entrevista-andrea-echegoyen-motos-y-en-instagram-live-CywJgSTtiAA,Entrevista ANDREA ECHEGOYEN motos y 🚘 en Instagram live,https://www.youtube.com/watch?v=CywJgSTtiAA,20211111,2914,False,0,local
qt8-Dy0FEjo,entrevista-supermariodom-yogui-y-alfonso-albarran-carrera-panamericana-en-instagram-live-qt8-Dy0FEjo,"Entrevista #SUPERMARIODOM , Yogui y Alfonso Albarrán (carrera panamericana) en Instagram live.",https://www.youtube.com/watch?v=qt8-Dy0FEjo,20211030,1911,False,0,local
NeDv3vZ8qbo,alex-konstantonis-andrea-echegoyen-y-fer-miller-de-hangar1autos-en-instagram-live-completo-NeDv3vZ8qbo,"Alex Konstantonis, Andrea Echegoyen y Fer Miller de @HANGAR1Autos en Instagram Live [Completo]",https://www.youtube.com/watch?v=NeDv3vZ8qbo,20210819,2244,False,0,local
PvW2vSInfB4,entrevista-gonzalo-magana-info-de-gonzalo-conducir-PvW2vSInfB4,Entrevista Gonzalo Magaña (Info de @gonzalo_conducir),https://www.youtube.com/watch?v=PvW2vSInfB4,20210722,1987,False,0,local
jHxpOa_We7s,jaguar-me-lo-compro-o-no-me-lo-compro-alvazquez-jHxpOa_We7s,"JAGUAR ¿Me lo compro, o NO me lo compro? @alvazquez",https://www.youtube.com/watch?v=jHxpOa_We7s,20210707,1706,False,0,local
IjPTKQVMvaE,jaime-gabaldoni-nos-habla-de-su-trayectoria-en-los-autos-instagram-live-IjPTKQVMvaE,@Jaime_Gabaldoni nos habla de su trayectoria en los autos | Instagram Live,https://www.youtube.com/watch?v=IjPTKQVMvaE,20210622,2134,False,0,local
k2C37jU9e_s,nissan-sentra-desde-piso-de-ventas-l-tixuz-k2C37jU9e_s,Nissan Sentra desde piso de ventas l Tixuz,https://www.youtube.com/watch?v=k2C37jU9e_s,20210606,1104,False,0,local
ituNwW-NOqs,jac-2021-me-lo-compro-o-no-me-lo-compro-ituNwW-NOqs,"JAC #2021 ¿me lo compro, o no me lo compro?",https://www.youtube.com/watch?v=ituNwW-NOqs,20210417,1592,False,0,local
1uuA-AocDkA,hyundai-2021-me-lo-compro-o-no-me-lo-compro-1uuA-AocDkA,"Hyundai #2021 ¿Me lo compro, o no me lo compro?",https://www.youtube.com/watch?v=1uuA-AocDkA,20210404,2663,False,0,local
KGqm8vs4o5E,honda-2021-me-lo-compro-o-no-me-lo-compro-KGqm8vs4o5E,"HONDA #2021 ¿Me lo compro, o NO me lo compro?",https://www.youtube.com/watch?v=KGqm8vs4o5E,20210324,2583,False,0,local
6jD4N_6URPY,gmc-2021-me-lo-compro-o-no-me-lo-compro-6jD4N_6URPY,"GMC #2021 ¿me lo compro, o no me lo compro?",https://www.youtube.com/watch?v=6jD4N_6URPY,20210320,1844,False,0,local
cGERHksDulM,lis-pernia-embajadora-de-indian-satelite-y-agencia-lincon-cGERHksDulM,Lis Pernía - Embajadora de indian satélite y agencia Lincon,https://www.youtube.com/watch?v=cGERHksDulM,20210314,2571,False,0,local
PiTC9qxp_BM,yogui-da-la-clase-de-corvette-PiTC9qxp_BM,Yogui da la clase de Corvette.,https://www.youtube.com/watch?v=PiTC9qxp_BM,20210225,1260,False,0,local
PGkryogQP30,tesla-PGkryogQP30,TESLA,https://www.youtube.com/watch?v=PGkryogQP30,20210208,843,False,0,local
j9IPzpuHSp8,ford-2021-me-lo-compro-o-no-me-lo-compro-j9IPzpuHSp8,"FORD #2021 ¿me lo compro, o no me lo compro?",https://www.youtube.com/watch?v=j9IPzpuHSp8,20210207,2270,False,0,local
ZCmA6BKcNxU,fiat-2021-me-lo-compro-o-no-me-lo-compro-ZCmA6BKcNxU,"FIAT 2021 ¿me lo compro, o no me lo compro ?",https://www.youtube.com/watch?v=ZCmA6BKcNxU,20210128,1677,False,0,local
rKE79qEm8ME,historia-de-los-autos-rKE79qEm8ME,Historia de los autos,https://www.youtube.com/watch?v=rKE79qEm8ME,20210117,1399,False,0,local
BMa0m5JtNss,dodge-2021-me-lo-compro-o-no-me-lo-compro-dodge-BMa0m5JtNss,DODGE #2021 ¿Me lo Compro o No me lo Compro? Dodge,https://www.youtube.com/watch?v=BMa0m5JtNss,20210115,2356,False,0,local
XXBP3FxGefM,cupra-2021-me-lo-compro-o-no-me-lo-compro-XXBP3FxGefM,"CUPRA # 2021 ¿me lo compro, o no me lo compro?",https://www.youtube.com/watch?v=XXBP3FxGefM,20210108,1190,False,0,local
0-xA0H_rJnQ,autos-electricos-0-xA0H_rJnQ,Autos Electricos,https://www.youtube.com/watch?v=0-xA0H_rJnQ,20210103,1420,False,0,local
mxkukDQhN6k,chrysler-2021-me-lo-compro-o-no-me-lo-compro-mxkukDQhN6k,Chrysler #2021 ¿Me lo compro o no me lo compro?,https://www.youtube.com/watch?v=mxkukDQhN6k,20210102,1123,False,0,local
gY5SbnEIqoM,bmw-parte-2-me-lo-compro-o-no-me-lo-compro-gY5SbnEIqoM,BMW PARTE 2 me lo compro o no me lo compro?,https://www.youtube.com/watch?v=gY5SbnEIqoM,20201216,3111,False,0,local
Ug4oSn40oEo,hot-wheels-tixuz-Ug4oSn40oEo,HOT WHEELS -TIXUZ,https://www.youtube.com/watch?v=Ug4oSn40oEo,20201210,286,False,0,local
7Es0WokFZGU,cual-es-la-mejor-marca-de-autos-electricos-7Es0WokFZGU,Cual es la mejor marca de autos eléctricos?,https://www.youtube.com/watch?v=7Es0WokFZGU,20201206,1606,False,0,local
Wdm4K-4XpgU,chevrolet-parte-2-me-lo-compro-o-no-me-lo-compro-Wdm4K-4XpgU,chevrolet parte 2 me lo compro o no me lo compro,https://www.youtube.com/watch?v=Wdm4K-4XpgU,20201203,1630,False,0,local
2wifxt3va5M,cual-es-la-mejor-marca-segun-consumer-reports-2wifxt3va5M,Cual es la mejor marca segun consumer reports,https://www.youtube.com/watch?v=2wifxt3va5M,20201128,967,False,0,local
